Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,2502261_M_WT_HIP_P21,2502262_M_WT_HIP_P21,2502263_M_WT_HIP_P21,2502265_M_WT_HIP_P21,2502273_F_WT_HIP_P21,2502266_F_WT_HIP_P21,2502126_F_WT_HIP_P21,2502129_F_WT_HIP_P21,2502235_F_MUT_HIP_P21,2502236_F_MUT_HIP_P21,2502237_F_MUT_HIP_P21,2502281_M_MUT_HIP_P21,2502238_F_MUT_HIP_P21,2502285_M_MUT_HIP_P21,2502283_M_MUT_HIP_P21,2502284_M_MUT_HIP_P21,iBAQ,Intensity,MS/MS count,Razor + unique peptides,Mol. weight [kDa],Q-value,Score,Protein IDs,Majority protein IDs,Protein names
Mtss2,"0,4958100319","0,5316631226","0,6285063291",,"0,0194144249","0,02284904017","0,9393260372",,"-0,4591262341","1,137670977","0,7127857143",,"-0,935521841","1,016943777","0,529",,"-4,138905525","-3,834897995","-3,977795601","-4,182772636","-3,290361404","-3,444718361","-3,409279823","-4,153507233","-4,024785042","-3,182130814","-3,274747849","-4,010298729","-3,893860817","-3,999825478","-5,780280113","-4,327207565",1400100,32022000,6,5,"70,083",0,"11,236",D3YWC9;Q6P9S0;F7D291;F6S054,D3YWC9;Q6P9S0,Protein MTSS 2
Mcam,"0,4910223484","1,544961754","0,5637333333",,"-0,2584269047","0,8827629181","0,6733291925",,"0,1514267921","0,5317205542","0,7744453901",,"-0,5980224609","1,758692337","0,5093846154",,"-2,603583336","-2,840309143","-2,782382965","-2,819592476","-2,654055595","-2,92031002","-3,231590271","-2,845619202","-2,517503738","-2,760603905","-2,840959549","-3,253330231","-2,498800278","-3,506524086","-3,456594467","-2,79350853",1828200,12797000,2,1,"15,999",0,"8,1685",A0A1L1SQC5;Q8R2Y2-2;Q8R2Y2,A0A1L1SQC5;Q8R2Y2-2;Q8R2Y2,Cell surface glycoprotein MUC18
Alad,"0,4836668968","0,9641134041","0,6186909091",,"0,7850983143","1,551986579","0,3766153846",,"-0,1592700481","0,2730408452","0,7756732543",,"0,1421613693","0,1954937107","0,7455272109",,"0,1324863434","0,2283096313","0,7380504608","0,784611702","0,8273305893","0,1189785004","0,7394523621","0,8347768784","0,1407079697","-0,4984102249","-0,5380134583","0,0332736969","0,2758607864","0,3193130493","-0,5653104782","0,1615142822",1699900,136310000,9,4,"36,023",0,"34,855",P10518,P10518,Delta-aminolevulinic acid dehydratase
Acat2,"0,4748721123","2,974052506","0,5296",,"-0,287109375","0,8516916629","0,6872283465",,"0,3096625805","1,015892486","0,7074730539",,"-0,4523189068","2,355061037","0,62456",,"-3,051457405","-2,931692123","-3,128587723","-2,933242798","-3,42099762","-3,07412529","-3,088353157","-3,700154305","-2,855348587","-3,187429428","-3,143878937","-3,528964043","-2,948535919","-3,413439751","-3,355071068","-3,646993637",1388400,22215000,3,1,"41,297",0,"7,2811",Q8CAY6;G3XA25;A0A3B2WAL8,Q8CAY6;G3XA25;A0A3B2WAL8,"Acetyl-CoA acetyltransferase, cytosolic;acetyl-CoA C-acetyltransferase"
Itga3,"0,4692337513","1,549865651","0,5682352941",,"-0,1941974163","0,3608168083","0,6859472141",,"0,4554936886","1,580911863","0,7370212766",,"-0,207937479","0,3813933352","0,7457391304",,"-3,359491348","-3,427909851","-3,753795624","-3,430733681","-4,068434715","-3,995455742","-3,577522278","-4,152492523","-4,109372139","-3,916160583","-3,78502655","-3,979777336","-3,20655632","-4,310303688","-3,643220901","-3,915563583",183820,6617600,1,1,"113,43",0,"7,8427",Q62470-3;Q62470;Q62470-2,Q62470-3;Q62470;Q62470-2,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain
Abcb10,"0,4631829262","0,8712230358","0,5818550725",,"0,09838986397","0,3858157786","0,7255610358",,"0,2163786888","0,8466306477","0,743810585",,"-0,1484143734","0,2297088037","0,7542430622",,"-3,559453011","-3,409674644","-3,782569885","-3,784796715","-3,731797218","-3,800097466","-3,75404644","-4,116067886","-3,817227364","-4,128076553","-3,957015038","-4,233225822","-3,893249512","-4,742857933","-3,607055664","-3,80608654",115330,4497800,1,1,"77,187","0,00022487","2,7135",Q9JI39,Q9JI39,"ATP-binding cassette sub-family B member 10, mitochondrial"
Opcml,"0,4630343914","0,5348606243","0,6581777778",,"0,76521492","0,7574437844","0,5088888889",,"-0,2639558315","0,1601659747","0,773498998",,"0,03822469711","0,1908750781","0,8873279691",,"2,338706017","0,7824859619","0,6492042542","0,8619260788","0,4977712631","0,6364650726","2,331643105","2,222266197","0,6549520493","0,7520837784","0,5224628448","0,6259088516","0,6977872849","0,8795537949","0,634724617","0,6399974823",2307400,175110000,16,4,"37,156",0,"43,84",Q6DFY2;G5E8G3,Q6DFY2;G5E8G3,
Hax1,"0,4473352432","0,7625105726","0,6312307692",,"0,2651424408","0,4662573772","0,6762573727",,"0,1227455139","0,1325539957","0,7831007026",,"-0,05944728851","0,1342788952","0,8392484568",,"-5,490233421","-5,14454937","-5,037660599","-4,211667061","-4,83843708","-5,199883461","-5,664320946","-4,672451019","-5,405117989","-5,139047623","-5,716617584","-5,283038139","-5,174879074","-5,667655945","-5,228310585","-5,494446754",374250,3697300,2,2,"3,9537","0,0010989","2,4758",A0A0G2JGR0;A0A0G2JE46;A0A0G2JDP0;O35387,A0A0G2JGR0;A0A0G2JE46;A0A0G2JDP0;O35387,HCLS1-associated protein X-1
Nr2f1;Nr2f2,"0,4233977795","0,8452589823","0,6597108434",,"0,09208726883","0,07907115292","0,7568922664",,"0,4789690971","0,5777599439","0,7615555556",,"0,1476585865","0,196667915","0,752018018",,"-4,083537102","-3,953529358","-4,488668442","-3,945687294","-4,560593605","-5,643745422","-4,172958374","-4,010001183","-5,277766228","-4,576780319","-4,545243263","-4,123774529","-4,355857849","-4,922578812","-4,212025642","-4,906634331",300800,6016100,2,2,"45,899","0,0074074","1,7212",Q32NY6;Q60632;P43135,Q32NY6;Q60632;P43135,COUP transcription factor 1;COUP transcription factor 2
C3,"0,4154391289","1,027291239","0,6250731707",,"-0,3329851627","0,4839862178","0,6879316239",,"0,4776508808","0,7979695031","0,7386666667",,"-0,2707734108","0,545650234","0,7355700326",,"-3,700401306","-3,38774395","-3,459671021","-3,360987663","-3,629723549","-3,323257446","-4,317952156","-4,548474312","-3,93097496","-3,421207428","-3,715835571","-3,836231232","-3,419448853","-4,448890686","-3,557229996","-3,728208542",132430,13773000,4,4,"186,48",0,"12,429",P01027;H3BL60,P01027,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2
Sgsh,"0,412166357","0,5994701617","0,6433214286",,"0,2741627693","0,4022944087","0,6747700535",,"0,01502537727","0,02078982179","0,9644910302",,"-0,1229782104","0,1253505462","0,7477825537",,"-3,406956673","-3,994703293","-3,205178261","-2,927373886","-3,53203392","-3,33198452","-3,156541824","-3,573753357","-3,02573967","-3,447164536","-4,352178574","-4,490399361","-3,86588192","-3,569104195","-3,495483398","-3,627890587",469040,8911800,2,2,"56,722",0,"4,8781",Q9EQ08;B1ATE0,Q9EQ08;B1ATE0,
Glo1,"0,4077255726","1,681527506","0,5881666667",,"0,02358937263","0,03387063823","0,9245023847",,"0,3462610245","0,6932277457","0,7044026846",,"-0,03787517548","0,1099183489","0,8944542587",,"4,402626991","4,309020042","4,349187851","4,173617363","4,391212463","4,352931023","3,51608181","3,589182854","3,826375961","3,956736565","3,995713234","4,021540642","3,976224899","3,536592484","4,037667274","4,007749557",80681000,2703200000,47,15,"20,809",0,"95,054",Q9CPU0;A0A494BAF7;A0A494BBE7;A0A494B970,Q9CPU0;A0A494BAF7;A0A494BBE7,Lactoylglutathione lyase;lactoylglutathione lyase
Cldn11,"0,4066877365","1,90612706","0,5802285714",,"0,04649400711","0,07222607647","0,8445187097",,"0,3419673443","1,424859393","0,7325663717",,"-0,01822638512","0,02798118342","0,9614943123",,"1,217999458","1,000851631","0,9348077774","0,8727579117","0,6784267426","0,429142952","0,9344367981","0,6165409088","0,05619525909","0,9246387482","0,566608429","0,4373130798","0,9251289368","0,4646644592","0,7853593826","0,7123289108",65801000,472730000,9,1,"22,114",0,"24,681",Q60771,Q60771,Claudin-11
Me3,"0,4051549435","2,067345009","0,6032727273",,"0,4113838673","1,015101576","0,6553076923",,"0,02674531937","0,0410000926","0,9230393113",,"0,03297424316","0,2254515405","0,9014734907",,"2,584773064","2,997450829","3,018167496","2,927727699","2,943725586","3,389950752","2,599699974","2,487761497","2,297868729","2,459425926","2,504340172","2,553582191","2,513967514","2,436901093","2,418780327","2,498235703",5084900,664420000,32,15,"67,098",0,"90,977",Q8BMF3;A0A140LHQ4,Q8BMF3,"NADP-dependent malic enzyme, mitochondrial"
Cycs,"0,4046432972","1,24096105","0,624",,"0,08737254143","0,1387616304","0,749881102",,"0,4568996429","0,8032992447","0,7515692308",,"0,1396288872","0,865009615","0,756426009",,"4,785574913","4,514109612","4,216434479","4,018679619","4,552455902","3,768645287","3,47604847","3,910050392","3,944696426","3,979937553","3,697619438","3,929223061","3,735456467","4,04684639","4,041527748","3,898628235",417160000,5546800000,66,9,"11,605",0,"55,487",P62897;CON__P62894,P62897,"Cytochrome c, somatic"
Nme3,"0,4039056301","2,564959823","0,6038709677",,"0,1860125065","1,443804561","0,6911",,"0,1243903637","1,110652331","0,7809241379",,"-0,09350275993","0,4676862307","0,7446907156",,"-0,09235858917","-0,0628156662","-0,01468086243","-0,06475353241","-0,1074666977","-0,0785036087","-0,222858429","-0,3233413696","-0,3973703384","-0,4444704056","-0,3786182404","-0,3877849579","-0,2557611465","-0,7043352127","-0,3622360229","-0,3958749771",5901500,61103000,5,3,"19,099",0,"10,544",Q9WV85,Q9WV85,Nucleoside diphosphate kinase 3
Cryab,"0,3823299408","0,9739747209","0,6450097087",,"1,091101646","1,646291477","0,313",,"-0,07436323166","0,1531070238","0,8232749871",,"0,634408474","0,8730828219","0,5165405405",,"-1,193480492","-1,123408318","-1,073662758","-1,770627022","-1,286323547","-1,396723747","-1,213541031","-0,9671373367","-3,333444595","-2,088136673","-1,977578163","-1,928948402","-1,828972816","-1,816605568","-1,5198946","-1,425049782",1284100,11557000,1,1,"15,385","0,0015358","2,4308",A0A1L1SRG5;P23927,A0A1L1SRG5;P23927,Alpha-crystallin B chain
Serpina3k,"0,3766229153","1,366782902","0,6589130435",,"0,3179354668","0,4728279505","0,6918599222",,"0,5471675396","1,339804115","0,7991428571",,"0,4884800911","0,9665918306","0,6728813559",,"0,7263259888","0,3101186752","0,3860197067","0,3132677078","0,3191766739","0,09154510498","-0,5302915573","-0,3333683014","-1,018367767","-0,2769327164","-0,5300836563","0,2006645203","0,1007041931","-0,203327179","0,2691173553","-0,03721427917",1181800,121970000,8,8,"46,672",0,"52,86",A0A0R4J0I1;P07759;Q03734,A0A0R4J0I1;P07759,Serine protease inhibitor A3K
Cdk5rap3,"0,3751192093","0,5867028202","0,645080292",,"-0,0757727623","0,08975131277","0,7777124021",,"0,08445310593","0,09103038567","0,8235346896",,"-0,3664388657","0,6626977029","0,7626666667",,"-4,676864624","-5,85871315","-5,091210365","-4,805462837","-5,253569603","-4,620487213","-5,265904427","-5,630102158","-4,704401016","-5,743135452","-5,104848862","-5,174658775","-4,914587021","-5,839182854","-5,353959084","-5,564927101",368390,20138000,3,3,"56,99",0,"5,7656",Q99LM2;A2A6D9;B0QZI8;Q60636-2,Q99LM2,CDK5 regulatory subunit-associated protein 3
Taf6l,"0,3727777004","0,2456461009","0,6287604563",,"0,08668255806","0,1397710493","0,7486928983",,"-0,2381179333","0,3601967476","0,7387621483",,"-0,5242130756","0,3844903114","0,751",,"-4,897839546","-5,380561829","-5,339764595","-4,261274338","-4,535897255","-4,525362015","-4,9777565","-4,887952805","-4,494135857","-5,135071754","-5,203670502","-4,741613388","-4,440820694","-4,231397629","-6,789214134","-5,608325958",51019,1326500,1,1,"65,049","0,0013181","2,4551",A0A087WQC4;H3BJR2;K3W4L1;H3BK01;Q8R2K4-2;Q8R2K4,A0A087WQC4;H3BJR2;K3W4L1;H3BK01;Q8R2K4-2;Q8R2K4,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L
Eif4e2,"0,3633406162","0,7767193051","0,6379847328",,"-0,2047944069","0,8128591886","0,688046875",,"-0,01573014259","0,09996636472","0,9546549894",,"-0,5838651657","1,198672311","0,5308888889",,"-3,264291763","-3,499761581","-3,411045074","-3,315891266","-3,413869858","-3,375452042","-3,341650963","-3,297096252","-2,908982277","-2,97173214","-3,371804237","-3,675830841","-3,356372833","-4,316422462","-3,217638016","-3,734460831",1228000,8596200,1,1,"14,703",0,"4,1248",M0QWD1;D3Z730;Q3UUT0;G3X9H1;D3Z729;Q0P688;D3YUV9;Q8BMB3,M0QWD1;D3Z730;Q3UUT0;G3X9H1;D3Z729;Q0P688;D3YUV9;Q8BMB3,Eukaryotic translation initiation factor 4E type 2
Ace,"0,3611414433","1,193652255","0,6432072072",,"-0,02061867714","0,03188727827","0,9311441138",,"0,1930081844","0,3372404365","0,7657069597",,"-0,188751936","0,7546807223","0,7467295826",,"-3,453222275","-2,846457481","-2,917853355","-3,095707893","-2,895867348","-2,942399025","-3,619599342","-3,627408028","-3,174484253","-3,296895981","-3,476456642","-3,502858162","-3,054962158","-3,201123238","-3,462349892","-3,591475487",93951,4979400,2,1,"117,51","0,008554","1,5924",F6QCP8;P09470-2;P09470,F6QCP8;P09470-2;P09470,"Angiotensin-converting enzyme;Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form"
Rmdn3,"0,3605041504","2,393316982","0,6495",,"0,1525285244","0,5976885741","0,6901354402",,"0,1045780182","0,3407919712","0,7854440895",,"-0,1033976078","0,8610130711","0,7504519774",,"0,4256820679","0,642947197","0,4461078644","0,6986646652","0,5362176895","0,7248783112","0,274559021","0,2594347","0,2316131592","0,2138328552","0,4043769836","0,2229032516","0,335152626","0,1584396362","0,2885465622","0,1014957428",1318800,174150000,11,5,"52,028",0,"25,733",Q3UJU9,Q3UJU9,Regulator of microtubule dynamics protein 3
Trappc11,"0,3602869511","1,843774201","0,6532631579",,"0,03683257103","0,1375397573","0,8606441718",,"0,2178981304","0,8783558481","0,7467428571",,"-0,1055562496","0,6703404135","0,7512148465",,"-0,03971195221","0,1830158234","-0,2864494324","0,1059246063","-0,07705402374","-0,2352113724","-0,1815280914","-0,415019989","-0,1647024155","-0,3225755692","-0,4409151077","-0,3073225021","-0,1279506683","-0,3818778992","-0,4136829376","-0,3754854202",284120,60626000,5,5,"128,39",0,"23,514",B2RXC1,B2RXC1,Trafficking protein particle complex subunit 11
Dip2c,"0,359888792","0,9233017414","0,6410081301",,"-0,1128180027","0,4128531277","0,7200497804",,"0,05552411079","0,1143452665","0,8584304007",,"-0,4171826839","1,53675589","0,7112876712",,"-4,212522507","-3,704805374","-4,576899529","-4,210430145","-4,208137512","-4,199131012","-4,231332779","-4,288152695","-4,324683189","-3,844316483","-3,994661331","-4,682070732","-4,311820984","-4,667715073","-4,464031219","-4,330395699",38619,2857800,2,1,"167,24","0,00022883","2,9367",B7ZMZ7,B7ZMZ7,
Srpk1,"0,3561663628","1,473957287","0,637682243",,"-0,07349348068","0,1605760683","0,7667689625",,"0,2096114159","0,9522072536","0,7383297872",,"-0,2200484276","0,5446199506","0,7793256351",,"-3,007674217","-2,9072752","-3,029771805","-2,820840836","-3,341881752","-3,225766182","-3,170772552","-2,865587234","-2,982466698","-2,832487106","-3,493782043","-3,135523796","-3,001297951","-3,256372452","-3,649900436","-3,148430824",622340,18670000,2,2,"73,088",0,"6,9368",O70551;F8WGJ7;A0A3B2W430;A0A3B2W4B9;A0A3B2W883,O70551,SRSF protein kinase 1
Cog4,"0,3543479443","1,191049819","0,6354188034",,"0,09225559235","0,1755985242","0,7379644723",,"-0,01480078697","0,02445681641","0,9632799178",,"-0,2768931389","0,9162030406","0,7176349206",,"-3,635986328","-3,841202736","-3,814917564","-3,720159531","-3,521532059","-4,338689804","-3,597437859","-3,49540329","-3,843553543","-3,911636353","-3,742702484","-3,728702545","-3,824193001","-4,448763847","-4,064577103","-4,187614441",434100,2604600,1,1,"10,596","0,00022422","2,6656",G3UWY4;G3UYW8;G3UWX2;G3UWH9;Q8R1U1,G3UWY4;G3UYW8;G3UWX2;G3UWH9;Q8R1U1,Conserved oligomeric Golgi complex subunit 4
Tanc1,"0,3471188545","0,4649018647","0,6238105263",,"0,1015298367","0,1508422392","0,7253552993",,"-0,0833594799","0,1023428358","0,8241426291",,"-0,3289484978","0,5015478558","0,7451214953",,"-3,453014374","-3,355077744","-2,682880402","-2,977293968","-2,650518417","-2,904387474","-2,840829849","-3,739092827","-3,365821838","-3,096318245","-3,14392662","-3,369490623","-2,93488121","-4,237190247","-2,851638794","-3,398422241",383490,37582000,5,2,"200,06",0,"4,7371",E9QAF9;Q0VGY8,E9QAF9;Q0VGY8,Protein TANC1
Ccdc115,"0,346796751","1,177943989","0,6365483871",,"-0,08350753784","0,1279373782","0,7497030247",,"0,2844238281","0,5809681333","0,7089256198",,"-0,1458804607","0,3567623838","0,7578991597",,"-4,490938187","-4,340428352","-4,996556282","-4,538388252","-5,04676342","-4,586036682","-4,565172195","-5,306034088","-4,398565292","-4,660193443","-5,140433311","-4,795550346","-4,970784187","-5,017698288","-4,872699738","-5,067549706",766810,9201700,2,2,"19,742","0,0021455","2,1795",Q8VE99,Q8VE99,Coiled-coil domain-containing protein 115
Klhl22,"0,3463492393","0,3978655079","0,6277714286",,"-0,1341731548","0,3860298836","0,7063413762",,"0,208884716","0,2734856665","0,7595572519",,"-0,2716376781","0,4644146585","0,7238662614",,"-4,970110893","-3,900397301","-4,195575714","-5,114705086","-4,838294983","-4,41813755","-4,854269981","-4,905625343","-4,50880146","-4,921858788","-4,490790367","-4,82978344","-4,558184624","-4,793457985","-5,557253838","-4,385690689",775870,25604000,3,3,"71,686",0,"6,0863",Q99JN2;Q99JN2-2,Q99JN2;Q99JN2-2,Kelch-like protein 22
Nlrx1,"0,3457713127","2,523165923","0,6316831683",,"0,2128329277","0,7236837087","0,6900862423",,"0,154188633","1,163657317","0,775267423",,"0,02125024796","0,05150843284","0,9497622753",,"-2,259936333","-2,304011345","-2,122096062","-2,083153725","-2,244623184","-2,432113647","-2,298144341","-2,411070824","-2,512288094","-2,937420845","-2,28559494","-2,5857687","-2,501979828","-2,500564575","-2,643918991","-2,422030449",214030,9417200,4,3,"107,83",0,"5,5768",Q3TL44,Q3TL44,NLR family member X1
Aaas,"0,3457684517","1,234837702","0,6394098361",,"-0,1016623974","0,215126862","0,7182867174",,"0,1919429302","1,028593042","0,7661911422",,"-0,2554879189","0,5394022576","0,7346202899",,"-3,184074402","-3,471622467","-3,479862213","-3,562644005","-3,63521862","-3,665864944","-3,692635536","-3,472255707","-3,02648735","-3,537225723","-3,906147003","-4,084274292","-3,589465141","-3,560173035","-3,590315819","-3,846513748",314090,4083200,1,1,"32,864","0,00022457","2,6744",A0A2R8VI65;P58742,A0A2R8VI65;P58742,Aladin
Dner,"0,3406763077","0,6890608931","0,6259753086",,"-0,006125211716","0,00924451251","0,9780412514",,"0,1701431274","0,4316111782","0,7741272431",,"-0,176658392","0,2633180116","0,7480600751",,"-3,670253754","-3,208250046","-3,783690453","-3,353138924","-3,481052399","-3,47721386","-3,902937889","-3,834701538","-3,279527664","-3,476870537","-4,163992882","-3,497626305","-3,751013756","-4,290168762","-4,067129135","-3,523114204",91113,2186700,1,1,"78,747","0,00022517","2,7349",Q8JZM4,Q8JZM4,Delta and Notch-like epidermal growth factor-related receptor
