Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,250262_M_WT_PFC_8w,250263_M_WT_PFC_8w,250264_M_WT_PFC_8w,250297_M_WT_PFC_8w,250265_F_WT_PFC_8w,250266_F_WT_PFC_8w,250267_F_WT_PFC_8w,250293_F_WT_PFC_8w,250271_F_MUT_PFC_8w,250272_F_MUT_PFC_8w,250273_F_MUT_PFC_8w,250268_M_MUT_PFC_8w,2502143_F_MUT_PFC_8w,250269_M_MUT_PFC_8w,250270_M_MUT_PFC_8w,250244_M_MUT_PFC_8w,Log2 iBAQ,Log2 Intensity,MS/MS count,Razor + unique peptides,Q-value,Score,Mol. weight [kDa],Protein IDs,Majority protein IDs,Protein names
Fbrsl1,"0,6720714569","2,301969557","0,8702222222",,"0,7735159397","2,84033532","0,304",,"-0,1170470715","0,3419641972",1,,"-0,01560258865","0,03625399539","0,995819224",,"-1,931586266","-1,731311798","-2,094036102","-2,233509064","-1,754006386","-1,905316353","-1,712581635","-2,150350571","-2,760745049","-2,643416405","-2,383309364","-2,576555252","-2,828847885","-2,560671806","-3,004616737","-2,536885262",15248000,396460000,1,1,"0,0067942","1,547","63,881",E9PUB6;A0A0G2JFF2;A0A0G2JDI2;E9Q9T0,E9PUB6;A0A0G2JFF2;A0A0G2JDI2;E9Q9T0,
Uqcr11,"0,6290214062","1,017232168","0,6756923077",,"0,2542440891","0,2760716655",1,,"-0,03070139885","0,03347837892",1,,"-0,4054787159","0,4800438011",1,,"-2,699225426","-2,818341255","-2,231786728","-2,376588821","-2,585700989","-2,78416729","-1,67628479","-2,956983566","-2,128595352","-3,004426003","-3,2917099","-3,799887657","-2,595381737","-2,590536118","-2,764638901","-3,486965179",8186500,58048000,3,1,"0,00039573","2,9094","6,5386",Q9CPX8,Q9CPX8,Cytochrome b-c1 complex subunit 10
Ints1,"0,6268136501","0,5885242443","0,7235454545",,"-0,6995868683","1,791198792","0,6055384615",,"0,7017872334","1,710482869","0,6584",,"-0,6246132851","0,5926048928",1,,"-4,360492706","-3,865406036","-4,901656151","-4,212747574","-5,160065651","-4,981025696","-4,923350334","-5,08300972","-4,079089165","-4,400005341","-4,889175415","-4,067798615","-3,980834007","-5,241391182","-6,104302406","-4,434064865",121240,20984000,2,2,"0,00039393","2,8527","244,91",K3W4P2;A0A0G2JH17;Q6P4S8,K3W4P2;A0A0G2JH17;Q6P4S8,Integrator complex subunit 1
Stx4;Stx4a,"0,6082303524","0,493528563","0,7235",,"-0,2614767551","1,184359874",1,,"0,703299284","0,5825589138","0,9164",,"-0,1664078236","0,9701673121",1,,"-2,139166832","-4,37120533","-4,135593414","-4,532231331","-4,798487663","-4,377051353","-4,477458954","-4,338396072","-4,103088379","-4,218424797","-4,283064842","-4,350072861","-4,340909004","-4,475206375","-4,229738235","-4,556100845",3196100,47941000,2,2,0,"13,171","34,165",P70452;D6RJ29,P70452;D6RJ29,Syntaxin-4
Selenow,"0,6052694321","1,412923975","0,61792",,"0,06973385811","0,1800279429",1,,"-0,2598428726","0,7637638086",1,,"-0,7953784466","1,97325298",1,,"-3,893378258","-4,199460983","-4,085298538","-3,911353111","-3,920546532","-4,000472069","-3,326560974","-3,802539825","-3,838170052","-3,81362915","-3,829039574","-4,731951714","-3,848216057","-4,48939991","-5,162716866","-4,12650013",13485000,53939000,1,1,0,"3,8581","9,6871",P63300,P63300,Selenoprotein W
Smg1,"0,5899281502","1,134469308","0,6922758621",,"-0,1928477287","0,2544253619",1,,"0,4785592556","1,050567178","0,8432631579",,"-0,3042166233","0,3945698893",1,,"-5,054457664","-4,813199043","-4,746161461","-4,711922646","-5,700299263","-5,497392654","-5,369563103","-4,672722816","-4,640825272","-5,059814453","-5,686254501","-5,932736397","-5,081692696","-4,753767014","-5,277699471","-5,721250534",77398,13467000,2,2,0,"4,5939","409,76",Q8BKX6,Q8BKX6,Serine/threonine-protein kinase SMG1
Cox7a2l,"0,5747516155","5,879499886","0,6465714286",,"0,3293383121","1,295657213",1,,"0,01812291145","0,2252044549",1,,"-0,2272903919","0,847178708",1,,"2,237738609","2,206847191","2,286688805","2,145259857","2,21901226","2,180218697","2,22754097","2,177270889","1,617677689","2,071361542","2,134541512","1,641454697","1,663108826","1,635725021","1,659217834","1,641130447",56424000,3459400000,13,3,0,"36,996","14,913",E9PZS8;Q61387,E9PZS8;Q61387,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial"
Elp2,"0,5656692982","0,5809716468","0,7155789474",,"0,1068277359","0,1803067852",1,,"0,3593215942","1,794724283",1,,"-0,09951996803","0,07104890598",1,,"-4,022925377","-4,161096573","-3,86078167","-3,739332199","-4,361619949","-4,427138329","-4,167746544","-4,264917374","-4,8639431","-3,887270927","-4,203609467","-5,808068275","-4,693909645","-4,383863449","-3,806646347","-4,04823494",424880,14446000,1,1,0,"3,7779","82,71",Q91WG4-2;Q91WG4,Q91WG4-2;Q91WG4,Elongator complex protein 2
Ppbp,"0,5642669201","0,5799586798","0,7055172414",,"0,1490454674","0,5553173368",1,,"0,5955159664","0,6283771325","0,7734545455",,"0,1802945137","0,5925076327",1,,"-1,960037231","-0,4070730209","-2,456858635","-1,768746376","-2,197240829","-2,561092377","-2,127757072","-2,08868885","-2,375043869","-2,42464447","-2,537194252","-2,397912979","-2,234078407","-1,93844986","-2,464335442","-2,049084663",5328800,31973000,1,1,0,"3,1353","12,251",Q9EQI5,Q9EQI5,
Tmem177,"0,5607595444","1,09191972","0,6681081081",,"0,1876423359","0,8246759361",1,,"0,1354136467","0,2191371081",1,,"-0,2377035618","0,7679853872",1,,"-2,582078934","-2,698740959","-3,587608337","-2,710364342","-2,826440811","-2,974349022","-3,212103844","-3,107553482","-2,994947433","-3,347770691","-3,277542114","-3,216460228","-3,250756264","-3,580090523","-3,258183479","-3,767096519",1909200,62355000,2,2,0,"3,7636","34,067",Q8BPE4,Q8BPE4,Transmembrane protein 177
Pcif1,"0,5508410931","1,206372004","0,6742222222",,"0,06140136719","0,08181449062",1,,"0,1935851574","0,3085381579",1,,"-0,2958545685","0,555410681",1,,"-4,009115219","-3,283549309","-3,248707771","-3,118707657","-3,249979973","-3,570425034","-3,539189339","-4,074826241","-3,212814331","-3,573839188","-4,227630615","-4,308176994","-3,66574192","-3,992341042","-3,891927719","-3,670998573",872620,27051000,1,1,"0,00077625","2,6475","80,504",P59114,P59114,mRNA (2-O-methyladenosine-N(6)-)-methyltransferase
Rtn1,"0,5304355621","1,341844956","0,6834736842",,"-0,01765823364","0,01609409034",1,,"0,01848721504","0,03246750454",1,,"-0,5296065807","0,673359067",1,,"1,294272423","0,8882017136","1,273404121","1,122255325","1,347167015","0,8477611542","1,492519379","0,816737175","1,776041031","1,086240768","0,2519493103","0,1728610992","1,460586548","0,8249130249","1,014206886","0,4444103241",179830000,2915800000,9,2,0,"6,011","23,557",Q7M6W1;A3QM89,Q7M6W1;A3QM89,Reticulon
Tor1aip1,"0,5292401314","1,158275079","0,7337",,"-0,1025731564","0,5519112496",1,,"0,1226818562","0,3418239343",1,,"-0,5091314316","1,333912662",1,,"-3,952770233","-4,119225502","-4,469625473","-4,563903809","-4,412521362","-4,535256386","-4,369563103","-4,278911591","-4,16797924","-4,288256645","-4,487031937","-4,94745636","-4,242691994","-4,282315254","-5,188815117","-4,803898811",8605300,129080000,3,3,0,"13,898","32,779",J3QQ40;Q921T2;D3YXF8;Q3UE61;Q921T2-3;Q921T2-2,J3QQ40;Q921T2;D3YXF8;Q3UE61;Q921T2-3;Q921T2-2,Torsin-1A-interacting protein 1
Hcn4,"0,5235536098","1,744195438","0,6554117647",,"-0,01053881645","0,0549137387",1,,"0,05230665207","0,2782560158",1,,"-0,4817857742","1,6508967",1,,"-4,366841316","-4,3279562","-4,496630669","-4,144601822","-4,400718689","-4,323911667","-4,364861488","-4,455764771","-4,431426048","-4,510513306","-4,225464821","-5,169599533","-4,335697174","-4,807107925","-4,9703722","-4,483164787",1155600,57780000,1,1,"0,00039308","2,8278","129,06",O70507,O70507,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
Ddrgk1,"0,5223584175","1,351325235","0,7008205128",,"-0,6051137447","2,056928354","0,6496",,"0,193618536","0,5464176904",1,,"-0,9338536263","2,450033309",1,,"-5,559703827","-5,181864738","-5,562753677","-5,538188934","-5,951694489","-5,413698196","-5,81737709","-5,434215546","-4,956571579","-5,185048103","-5,188597679","-6,233832359","-4,866312981","-5,77320385","-6,348978996","-5,575929642",3841200,53777000,1,1,0,"5,0027","35,977",Q80WW9,Q80WW9,DDRGK domain-containing protein 1
Gbp10;Gm43302;Gbp6;Gbp9;Gbp3;Gbp7,"0,5194556713","0,9143463124","0,7280816327",,"-0,1831831932","0,5573314723","0,9913764259",,"0,5700325966","1,032581897","0,92",,"-0,1326062679","0,3606630325",1,,"-2,421936989","-2,376840591","-3,406435966","-3,233346939","-3,271694183","-3,542222023","-3,258136749","-3,646637917","-3,170967102","-3,595732689","-3,073235512","-3,603218079","-3,146022797","-3,493699074","-3,125052452","-3,294413567",1527500,42771000,2,1,0,"4,2981","70,4",Q000W5;L7N1X8;A0A8Q0QEH4;Q8BTS3;A0A0G2JDV3;Q61107;Q91Z40,Q000W5;L7N1X8;A0A8Q0QEH4;Q8BTS3;A0A0G2JDV3;Q61107;Q91Z40,Guanylate-binding protein 6;Guanylate-binding protein 3;Guanylate-binding protein 7
Mt1,"0,4971339703","0,8206493557","0,7211147541",,"-0,01674222946","0,02389384975",1,,"-0,01937031746","0,03829104448",1,,"-0,5332465172","0,7661756735",1,,"-0,1968917847","-0,3103246689","-0,217587471","-0,8171758652","-0,09043598175","-0,4183444977","-0,4100341797","-0,5456838608","0,01163101196","-0,3549795151","-0,9629993439","-1,293845177","-0,09118175507","-0,2980184555","-0,5726718903","-1,365980148",149620000,448860000,5,2,0,"5,6838","6,0181",P02802;A0A1D5RLN7,P02802;A0A1D5RLN7,Metallothionein-1
Man2b1,"0,4872918129","0,8607753144","0,6918181818",,"0,3097608089","0,8359666306",1,,"0,2103452682","0,3478351583",1,,"0,0328142643","0,05265068364",1,,"-5,56730938","-4,677788734","-4,652247429","-5,340053558","-5,494825363","-5,267160416","-5,36555481","-4,951239586","-5,260842323","-5,60610199","-5,956263542","-5,855625153","-5,494615555","-5,581596375","-5,664961815","-5,084383011",355230,14920000,1,1,0,"3,6954","114,65",O09159,O09159,Lysosomal alpha-mannosidase
Mrpl10,"0,4845814705","1,210283675","0,73736",,"0,7668607235","2,594469997","0,3056666667",,"-0,0120139122","0,04197319863",1,,"0,2702653408","0,5129980806",1,,"0,1978197098","0,07390880585","0,1720123291","0,2126197815","0,1477870941","0,008704185486","0,4460687637","0,1018562317","-0,7204780579","-0,3240013123","-0,8616142273","-0,3376321793","-0,4569330215","-0,3502826691","-0,8076953888","0,2136449814",19938000,319010000,4,4,0,"27,57","29,395",Q3TBW2;A2A715,Q3TBW2,Large ribosomal subunit protein uL10m
Ptar1,"0,4824314117","1,08907267","0,7196363636",,"-0,1092681885","0,1501356738",1,,"0,2770946026","0,4810487173",1,,"-0,3146049976","0,5965856898",1,,"-4,462187767","-4,437924385","-4,638518333","-4,805470467","-5,252915382","-4,169868469","-4,849451065","-5,180244446","-4,591410637","-4,896465302","-4,49336338","-5,624500275","-5,03416729","-4,927792549","-4,600774765","-5,12075901",620880,13659000,1,1,"0,006125","1,6217","48,29",A0A494B9V8,A0A494B9V8,
Aldh7a1,"0,4815948009","3,445392424","0,6715151515",,"0,5921561718","3,162983795","0,6237647059",,"-0,1445114613","0,6512875757",1,,"-0,03395009041","0,3546257226",1,,"2,688866615","2,844595909","2,67809391","2,579240799","2,955109596","2,920823097","2,923212051","2,569698334","2,261011124","2,229465485","2,219737053","2,198328018","2,29000473","2,134908676","2,212903976","2,318277359",37685000,4989500000,29,14,0,"97,343","55,644",Q9DBF1-2;Q9DBF1;G3UYR8;G3UY72;E9Q1H3;E9Q1G1,Q9DBF1-2;Q9DBF1;G3UYR8;G3UY72,Alpha-aminoadipic semialdehyde dehydrogenase;aldehyde dehydrogenase (NAD(+))
Npc1,"0,458129406","1,095564227","0,6848115942",,"0,2265865803","0,6442354489",1,,"-0,09067773819","0,2005992996",1,,"-0,3222205639","0,7572780248",1,,"-5,328761101","-4,996681213","-5,549217224","-5,416713715","-5,625797272","-5,124646187","-5,019881248","-5,158337593","-5,613382339","-5,608551025","-5,429507256","-6,181721687","-5,183568001","-5,394286156","-5,55796814","-5,989914894",302760,9991100,1,1,"0,0069531","1,5198","142,88",O35604,O35604,NPC intracellular cholesterol transporter 1
Ssr1,"0,457218647","0,8392692281","0,7535675676",,"0,5116419792","1,347757006","0,96",,"-0,3151295185","1,963156036",1,,"-0,2607061863","0,3394223851",1,,"-4,891465187","-4,909737587","-4,897742271","-4,673442841","-4,533216476","-4,676068306","-4,545804024","-4,356781006","-4,474808693","-5,310389519","-5,236859322","-5,670676231","-5,136380196","-5,787196159","-5,109429359","-4,633960724",12288000,680680000,5,4,0,"14,678","33,677",A0A286YCT4;A0A286YDB7;A0A286YCG8;Q9CY50,A0A286YCT4;A0A286YDB7;A0A286YCG8;Q9CY50,Translocon-associated protein subunit alpha
Pcdh1,"0,4551119804","0,7988808028","0,7807466667",,"-0,05925750732","0,07850703761",1,,"0,0127825737","0,0165956693",1,,"-0,5015869141","0,8606064371",1,,"-3,765347481","-3,880560875","-4,222772598","-4,372819901","-3,567779541","-4,138028145","-4,622461319","-3,964362144","-3,86169529","-4,374779701","-4,172251701","-4,451846123","-3,646874428","-5,217455864","-4,288584709","-4,10406208",2954800,41367000,1,1,"0,0011316","2,2084","39,089",E0CXD4,E0CXD4,
Camk2g,"0,4519238472","1,747907454","0,7219622642",,"0,1941618919","0,739269204",1,,"0,2436032295","1,138451012",1,,"-0,01415872574","0,03174022585","0,997606087",,"-1,375045776","-1,146512985","-1,095082283","-1,413885117","-1,5776968","-1,37541008","-1,685386658","-1,366445541","-1,777996063","-1,447428703","-1,631137848","-1,705657959","-1,925024033","-1,919129372","-1,391561508","-1,821872711",142250000,1991400000,2,1,0,"12,604","30,038",A0A286YCW8;A0A286YCH4;A0A286YCI7,A0A286YCW8,
Ube2w,"0,4431881905","1,118117549","0,7119444444",,"0,1329629421","0,2676572115",1,,"0,04631924629","0,066846949",1,,"-0,263906002","0,8590287789",1,,"-1,796592712","-1,875730515","-1,71476841","-2,498693466","-1,710920334","-1,813493729","-2,071977615","-2,47467041","-2,153389931","-2,417449951","-2,17023468","-2,512516975","-1,861839294","-2,632362366","-2,36737442","-2,146284103",13139000,39416000,1,1,0,"4,0599","8,9873",D6RCG4;Q3V321;Q8VDW4,D6RCG4;Q3V321;Q8VDW4,N-terminal E2 ubiquitin-conjugating enzyme;Ubiquitin-conjugating enzyme E2 W
Vwc2,"0,4388406277","0,762007537","0,7932380952",,"-0,2283656597","0,2786660935",1,,"0,07996249199","0,1418717404",1,,"-0,5872437954","0,7435860304",1,,"-4,244362831","-3,790179253","-4,371736526","-4,330780029","-4,053159714","-4,761685371","-4,110445976","-4,131617546","-3,819218636","-4,821773529","-4,086421967","-4,889669418","-3,416031837","-3,914200783","-5,043625832","-4,644925117",2339600,23396000,1,1,"0,0007758","2,6381","35,383",Q8C8N3,Q8C8N3,Brorin
Mapk8ip2,"0,4362049103","0,358662982","0,7704654088",,"0,2231698036","0,5438495689",1,,"-0,1207547188","0,2339002812",1,,"-0,3337898254","0,2649955094",1,,"-4,381689072","-5,172641754","-4,647743225","-4,459527016","-4,831479073","-4,470526695","-4,314064026","-4,562512398","-5,048852921","-4,427028656","-4,576985359","-6,256902695","-5,01839447","-4,090500832","-5,558506966","-4,500510216",852660,24727000,1,1,0,"6,4349","89,899",Q9ERE9,Q9ERE9,C-Jun-amino-terminal kinase-interacting protein 2
Ca4;Car4,"0,4346573353","1,616802415","0,6977846154",,"0,4357857704","2,856805426","0,895804878",,"0,08593606949","1,074681443",1,,"0,08706450462","0,2185182376",1,,"0,6419239044","0,6763296127","0,7228479385","0,6511602402","0,603345871","0,6862773895","0,5344266891","0,5244674683","0,114358902","0,3491249084","0,03449821472","0,3608427048","0,1073923111","0,03433990479","-0,02806186676","0,5865116119",14850000,1136700000,6,5,0,"15,094","34,351",Q64444;F6ST32,Q64444;F6ST32,Carbonic anhydrase 4
Slc25a26,"0,4308190346","1,786525766","0,7155483871",,"0,2883653641","0,8591655831",1,,"0,1436595917","0,4230589803",1,,"0,001205921173","0,002666270312","0,9993975024",,"-2,557134628","-2,893012047","-2,564034462","-2,617793083","-2,570789337","-3,156635284","-2,810256004","-2,668931961","-3,404503822","-2,930710793","-3,076924324","-2,961774826","-2,947935104","-2,871359825","-3,208375931","-3,313739777",8756400,35026000,1,1,"0,0043621","1,7316","8,3796",A0A0N4SUT5;A0A0N4SW11;Q5U680,A0A0N4SUT5;A0A0N4SW11;Q5U680,Mitochondrial S-adenosylmethionine carrier protein
Zmynd8,"0,4220793247","0,7897053155","0,7715368421",,"-0,2465233803","0,4335057765",1,,"0,3771052361","1,915455224","0,9641509434",,"-0,2914974689","0,3584546725",1,,"-3,735772133","-3,514739037","-3,407790184","-3,585551262","-4,119833946","-4,029387474","-3,787646294","-3,815405846","-3,477165222","-3,41523838","-3,462533951","-4,514033318","-4,411242485","-4,259837151","-3,803828239","-3,354471207",620220,53434000,3,2,0,"16,384","133,56",A2A482;A2A484;A2A485;Q3UH28;Q3U1M7;A2A483;E9Q8D1,A2A482;A2A484;A2A485;Q3UH28;Q3U1M7;A2A483;E9Q8D1,
Podnl1,"0,4206318855","0,9965257856","0,7993580247",,"0,06634521484","0,2122883527",1,,"0,324836731","1,259984659",1,,"-0,02944993973","0,04919014071",1,,"-4,35574913","-4,911531448","-4,852584839","-4,748198509","-4,996943474","-5,056567192","-4,927290916","-5,186609268","-5,414259911","-4,973132133","-5,13053894","-5,12816143","-4,914860725","-5,54789257","-5,191480637","-4,683056831",3722400,104230000,1,1,"0,0048931","1,6857","62,518",Q6P3Y9,Q6P3Y9,Podocan-like protein 1
Ercc2,"0,4174108505","0,7109774716","0,8012277228",,"0,06112527847","0,08734912161",1,,"0,01440238953","0,03197007756",1,,"-0,3418831825","0,4367839912",1,,"-4,692694664","-4,664879799","-5,046013832","-5,135069847","-4,901257515","-4,98975563","-4,626610756","-5,078643799","-5,303498268","-4,270782471","-5,188817024","-4,902592659","-5,077671051","-6,064373016","-5,132105827","-5,109230042",165690,6130700,2,2,"0,00058731","2,7661","84,406",E9Q6K1;O08811,E9Q6K1;O08811,General transcription and DNA repair factor IIH helicase subunit XPD
Ndufaf6,"0,408765316","0,7966161166","0,79948",,"0,5889072418","0,9936440061","0,8602857143",,"-0,08544445038","0,1215403036",1,,"0,09469747543","0,1183556778",1,,"-4,472542763","-4,962960243","-5,472425461","-4,668813705","-4,582630157","-4,647163391","-5,233996391","-4,771174431","-5,73253727","-4,902461052","-5,970010757","-5,135968208","-4,985584259","-5,247208595","-5,135568619","-5,693058014",3102100,49634000,2,2,0,"3,5941","38,362",A2AIL4,A2AIL4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6"
Nab2,"0,4039306641","1,134955573","0,7768275862",,"-0,4453613758","1,206134465","0,9007142857",,"0,3638346195","0,8728052793",1,,"-0,4854574203","1,549214579",1,,"-4,415019035","-5,003436089","-4,795131683","-4,775305748","-5,438426018","-5,10210228","-4,64149189","-5,262210846","-4,510897636","-4,605837822","-4,608793259","-5,31521225","-4,937256813","-4,955932617","-5,460042","-4,873428345",3332800,73323000,2,2,0,"4,5678","49,73",Q3TYF1;Q61127;Q61127-2,Q3TYF1;Q61127;Q61127-2,NGFI-A-binding protein 2
Nfx1,"0,4018325806","0,423140575","0,7871851852",,"-0,307570219","0,3027889772",1,,"0,1656141281","0,1687396181",1,,"-0,5437886715","0,54383119","0,9924307692",,"-5,632472992","-4,570448875","-4,255215645","-4,843960762","-4,519936562","-4,992261887","-4,803902626","-5,648453712","-5,319228172","-4,059186935","-5,269573212","-4,637302399","-4,086285591","-5,892905235","-5,575790405","-4,803430557",2551500,107160000,2,2,"0,0025811","1,9444","89,438",B1AY10-2;B1AY10-3;B1AY10,B1AY10-2;B1AY10-3;B1AY10,Transcriptional repressor NF-X1
